Jurisdiction	Bill Number	Bill Title	Bill Status	Bill Summary	Category
Oklahoma	H 1537	Amusements and Sports	Pending - Carryover	Relates to amusements and sports; enacts the Supporting Affordability and Fairness with Every Bet Act of 2025 or the safe Bet Act; defines terms; provides prohibition on sports wagering; provides exceptions; authorizes Attorney General to bring civil action; provides that trial shall be by a jury; provides for civil penalties; provides for jurisdiction; directs state to submit application; provides information application shall include.	Private Sector Use
Oklahoma	H 2016	Evidence	Pending - Carryover	Relates to evidence; relates to testimony by experts; provides for AI expert testimony; relates to hearsay; provides for attacking and supporting creditability of AI expert testimony; provides an effective date.	Judicial Use
Oklahoma	H 2216	Securities	Pending - Carryover	Relates to securities; creates the Oklahoma Ensuring Likeness, Voice, and Image Security Act of 2025; relates to property rights; provides for civil action; provides effective date.	Criminal Use; Private Sector Use
Oklahoma	S 611	State Government	Pending - Carryover	Relates to state government; creates the Citizen's Bill of Rights; provides short title; defines terms; restricts certain entities from taking certain actions relating to currency; guarantees certain rights for the use of gold and silver; restricts certain entities from taking certain actions relating to digital identification; prohibits certain entities from implementing a social credit score; prohibits certain entities from taking certain actions relating to medical procedures.	Government Use; Private Sector Use; Effect on Labor/Employment; Judicial Use; Oversight/Governance
Oklahoma	S 885	Social Media Platforms	Pending - Carryover	Relates to social media platforms; defines terms; creates the Safe Screens for Kids Act; provides short title; prohibits use of a social media platform by a minor without certain consent; requires certain age verification methods; requires certain access; prohibits certain restriction; prohibits certain data collection; provides certain exception; prohibits certain advertisement; prohibits use of certain technology for certain purpose; prohibits certain feature.	Oversight/Governance; Private Sector Use; Criminal Use
Oklahoma	S 894	Artificial Intelligence	Pending - Carryover	Relates to AI; defines terms; prohibits distribution of certain media within certain time period; requires certain disclosures; establishes requirements for certain disclosures; authorizes action for certain relief or award of damages; authorizes award for certain costs and fees; establishes certain civil penalties; provides exceptions to applicability of provisions; provides for codification; provides an effective date.	Elections; Notification; Criminal Use
Oregon	H 2230	Crime of Unlawful Creation	Failed	Creates the crime of unlawful creation, possession, distribution or purchase of an explicit digital forgery in the first degree.	Criminal Use
Oregon	H 2330	Law Enforcement Interdiction Task Force	Failed	Establishes the Task Force on Law Enforcement Interdiction Against Financial Scams on the Elderly.	Studies; Judicial Use
Oregon	S 414	Crime of Unlawful Dissemination of an Intimate Image	Failed	Modifies the crime of unlawful dissemination of an intimate image to include the disclosure of a computer-generated explicit likeness.	Criminal Use; Private Sector Use
Oregon	S 626	Crimes of Encouraging Child Sexual Abuse	Failed	Expands the crimes of encouraging child sexual abuse in the first degree, second degree and third degree to include visual depictions of child abuse that are computer-generated.	Child Pornography; Criminal Use
Pennsylvania	H 95	Unfair Trade Practices and Consumer Protection	Pending	Amends the act known as the Unfair Trade Practices and Consumer Protection Law; provides for definitions.	Criminal Use; Notification
Pennsylvania	H 317	Artificial Intelligence	Pending	Amends Title 18 Crimes and Offenses of the Pennsylvania Consolidated Statutes, in computer offenses; provides for AI; imposes a penalty.	Notification; Criminal Use
Pennsylvania	H 431	Artificially Generated Impersonations	Pending	Amends Title 18 Crimes and Offenses of the Pennsylvania Consolidated Statutes, in forgery and fraudulent practices; provides for the offense of unauthorized dissemination of artificially generated impersonation of individual.	Criminal Use; Private Sector Use
Pennsylvania	H 518	Unfair Trade Practices	Pending	Amends the act known as the Unfair Trade Practices and Consumer Protection Law; provides for definitions and for unlawful acts or practices and exclusions.	Criminal Use; Private Sector Use
Pennsylvania	H 811	Fraudulent Misrepresentation of Candidates	Pending	Provides for civil liability for fraudulent misrepresentation of candidates; imposes penalties; provides that a covered person shall be liable for the fraudulent misrepresentation of a candidate if, within a specified number of days before an election, the covered person knowingly and intentionally disseminates or causes to be disseminated a campaign advertisement that contains a deepfake; requires disclosures to carry embedded tamper evident digital content provenance for the deepfake content.	Elections; Criminal Use
Pennsylvania	H 1167	Solar Radiation Modification	Pending	Prohibits solar radiation modification or sunlight reflection methods, cloud seeding and polluting atmospheric interventions within this Commonwealth; imposes duties on the state Police and sheriffs; imposes penalties.	Criminal Use; Government Use; Private Sector Use
Pennsylvania	H 1533		Pending	Amends Title 18 Crimes and Offenses of the State Consolidated Statutes, in culpability; provides for liability for deployment of AI system.	Private Sector Use; Criminal Use
Pennsylvania	S 508	Clear Air	Pending	Prohibits solar radiation modification or sunlight reflection methods, cloud seeding and polluting atmospheric interventions within this Commonwealth; imposes duties on the State Police and sheriffs; imposes penalties.	Criminal Use; Government Use; Private Sector Use
Pennsylvania	S 806		Pending	Amends the act known as the Unfair Trade Practices and Consumer Protection Law; provides for definitions.	Notification; Criminal Use
Rhode Island	H 5217	Clean Air Preservation Act	Pending	Establishes the State Clean Air Preservation Act that establishes a regulatory process to prohibit polluting atmospheric experimentation such as solar radiation modification, sunlight reflection methods, solar radiation management, geoengineering, weather modification, cloud seeding, or other atmospheric interventions involving the release of pollutants including Perfluoroalkyl and Polyfluoroalkyl Substances, known also as forever chemicals, within the State.	Government Use; Criminal Use; Private Sector Use
Rhode Island	H 5224	Courts and Civil Procedure on Causes of Action	Pending	Provides a civil cause of action for individuals injured by AI.	Criminal Use; Private Right of Action
Rhode Island	S 358	Cause of Action for Injuries by AI	Pending	Provides a civil cause of action for individuals injured by AI.	Criminal Use; Private Sector Use; Private Right of Action
Rhode Island	S 627	Regulatory Provisions on AI Act	Pending	Establishes regulations to ensure the ethical development, integration, and deployment of high-risk AI systems, particularly those influencing consequential decisions in areas like employment, education, lending, housing, healthcare, and legal services. Requires developers, integrators, and deployers to use reasonable care to prevent algorithmic discrimination, implement risk management policies, conduct regular impact assessments, and provide transparency.	Responsible Use; Private Sector Use; Impact Assessment; Notification
South Carolina	H 3049		Pending - Carryover	Enacts the uniform civil remedies for unauthorized disclosure of intimate images act; defines necessary terms; creates a civil action for an individual who suffers harm from a person's intentional or threatened disclosure of private, intimate images without consent, and provide exceptions to liability.	Criminal Use
South Carolina	H 3058	Offense of Intentionally Disseminating Intimate Images	Enacted	Defines necessary terms for the offense of unauthorized disclosure of intimate images; creates the offense of unauthorized disclosure of intimate images; provides graduated penalties; provides an exception for law enforcement under certain circumstances.	Criminal Use
South Carolina	H 3404	Property Right in Use of Individuals Name	Pending - Carryover	Provides that every individual has a property right in the use of that individual's name, photograph, voice, or likeness in any medium in any manner and provides penalties.	Criminal Use; Private Sector Use
South Carolina	S 72	Distribution of Intimate Images	Pending - Carryover	Provides definitions relates to the distribution of intimate images; makes it unlawful for a person to intentionally disseminate an intimate image or a digitally forged intimate image of another person without effective consent of the depicted person; provides a penalty for the unlawful dissemination of intimate images.	Criminal Use
South Dakota	S 164	Deepfake to Influence an Election	Enacted	Prohibits the use of a deepfake to influence an election and provides a penalty therefor; provides that no person, with the intent to injure a candidate, may disseminate a deepfake or enter into a contract or other agreement to disseminate a deepfake, within a specified number of days of an election, if the person knows or reasonably should know the item being disseminated is a deepfake and does not include with the deepfake the specified disclosure; provides that a violation is a Class 1 misdemeanor.	Elections; Notification; Criminal Use
Tennessee	H 433	Criminal Offenses	Pending - Carryover	Expands the offense of unlawful exposure to include the distribution, with the intent to cause emotional distress, of an image of the intimate parts of another identifiable person or an image of an identifiable person engaged in sexually explicit conduct and the image was created or modified by means of a computer software program, AI application, or other digital editing tools.	Criminal Use
Tennessee	H 1246	Consumer Protection	Pending - Carryover	Requires the office of the attorney general and reporter to submit to the chair of the house committee having jurisdiction over consumer protection and the chair of the commerce and labor committee of the senate a report on the number of investigations into violations of the Tennessee Consumer Protection Act of 1977 in which AI was used to effectuate an unfair or deceptive act or practice affecting the conduct of any trade or commerce between the specified date.	Criminal Use; Studies
Tennessee	H 1299	Criminal Offenses	Pending - Carryover	Creates a civil and criminal action for individuals who are the subject of an intimate digital depiction that is disclosed without the individual's consent under certain circumstances.	Criminal Use; Notification
Tennessee	S 404	Criminal Offenses	Pending - Carryover	Provides that a person commits unlawful exposure who distributes an image of the intimate part or parts of another identifiable person or an image of an identifiable person engaged in sexually explicit conduct if the image was photographed or recorded under circumstances where the parties agreed or understood that the image would remain private or the image of an identifiable person was created or modified by means of a software program, AI application, or other digital editing tools.	Criminal Use
Tennessee	S 1346	Criminal Offenses	Enacted	Creates a civil and criminal action for individuals who are the subject of an intimate digital depiction that is disclosed without the individual's consent under certain circumstances.	Criminal Use; Child Pornography
