Jurisdiction	Bill	Title	Status	Summary	Category	Links
Maryland	H 966	AI Evidence Clinic Pilot Program	Failed - Adjourned	Establishes an AI Evidence Clinic Pilot Program within the Administrative Office of the Courts to provide expertise in AI to the circuit courts and the District Court in the form of expert testimony on the authenticity of electronic evidence that a court determines may have been created or altered using AI; authorizes the Governor, for fiscal years 2027 and 2028, to include an appropriation of a specified amount in the annual budget bill.	Government Use; Judicial Use; Studies	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTUQyMDI1MDAwSDk2NiJ9.cBRaCzcTKoHw19E-_YjkvhRQ9UWHDejCb38OCeTrFsM
Maryland	H 1089	Building Information Guardrails Data Act of 2025	Failed - Adjourned	Establishes the Privacy Protection and Enforcement Unit within the Division of Consumer Protection in the Office of the Attorney General; establishes a data broker registry; requires certain data brokers to register each year with the Comptroller; imposes a tax on the gross income of certain data brokers for taxable years beginning after a specified date; requires the revenue from the data broker tax be used by Maryland Public Television to provide digital literacy support to students.	Criminal Use; Private Sector Use; Responsible Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTUQyMDI1MDAwSDEwODkifQ.kvXmTzRJsW9-cxg29j4iaQ-2w1ElKg-k3oLWsW3Jg0Y
Maryland	H 1384	Howard County Study on Detecting Deadly Weapons	Failed	Requires the Howard County Board of Education to study how best to detect deadly weapons in Howard County public middle and high schools and how best to rapidly report the detection of weapons to a law enforcement agency; requires, by a specified date, in a manner that does not jeopardize school safety, the Howard County Board of Education to report on the findings of its study to the State Superintendent of Schools and the Howard County Delegation to the General Assembly.	Education Use; Studies	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTUQyMDI1MDAwSDEzODQifQ.p3OXeJad95K2g44kgl96JgxVGtcZc7huC2uOIpWhpyY
Maryland	S 655	AI Evidence Clinic Pilot Program	Vetoed	Establishes an AI Evidence Clinic Pilot Program within the Administrative Office of the Courts; requires the Administrative Office of the Courts to develop a grant application for the Program and award grants to eligible institutions of higher education; authorizes the Governor to include in the annual budget bill an appropriation to the Program and establishing a certain limitation on the expenditure of appropriated funds.	Judicial Use; Studies; Government Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTUQyMDI1MDAwUzY1NSJ9.foD-4wPwFGfgZCTe4T1tI05ip6E65_qHry8RmqMom_Y
Maryland	S 904	Building Information Guardrails Data Act of 2025	Failed - Adjourned	Establishes the Privacy Protection and Enforcement Unit within the Division of Consumer Protection in the Office of the Attorney General; establishes a data broker registry; requires certain data brokers to register each year with the Comptroller; imposes a tax on the gross income of certain data brokers for taxable years beginning after a specified date.	Oversight/Governance; Private Sector Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTUQyMDI1MDAwUzkwNCJ9.1cZxYswOP6fKu69R8ZImmIl_bszdBUAWFg3drJrxQ1g
Michigan	H 4668	Artificial Intelligence Models	Pending	Provides for requirements and safety standards for developers of certain AI models.	Responsible Use; Judicial Use; Private Sector Use; Cybersecurity; Audit	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTUkyMDI1MDAwSDQ2NjgifQ.eDPR-PyGVdooa7pJDohKi8dn-d-KAtkKPAniNtwyBaA
Minnesota	S 1417	Victims of Crime Account	Failed	Establishes Minnesota Victims of Crime Account; provides for law enforcement agency registration with eTrace System to provide firearm information; transfers financial crimes and fraud investigations to Financial Crimes and Fraud Section in Bureau of Criminal Apprehension; provides for crime of theft of public funds; provides for order for protection against financial exploitation of vulnerable adult; modifies statutory forms for garnishment.	Child Pornography; Criminal Use; Government Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTU4yMDI1MDAwUzE0MTcifQ.UJf3Tblv_GFUvNcBug-CNf5T28Qio9-0H2mV4vmc3eg
Montana	H 82	Crimes Against Children	Enacted	Creates the offense of grooming of a child for a sexual offense; revises certain crimes to include a law enforcement officer whom the offender believed to be a child; revises the offense of sexual abuse of children to include computer generated child pornography; adds the offense of grooming of a child for a sexual offense to the definition of sexual offense; provides for penalties.	Child Pornography; Criminal Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTVQyMDI1MDAwSDgyIn0.E4KY8dG8fefXW6Z-0XS0iPU-Fv59OQpn49NpXMzdhEk
Nevada	S 199	AI Systems	Failed	Relates to AI systems; provides for the registration and regulation of AI companies by the Bureau of Consumer Protection in the Office of the Attorney General; imposes certain requirements and restrictions upon certain persons engaged in certain activities relating to AI systems; requires the Department of Employment, Training and Rehabilitation to collect and report certain information relating to AI systems.	Private Sector Use; Oversight/Governance	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTlYyMDI1MDAwUzE5OSJ9.UPkOezhPgYC9bZNH1v_FycmoT_RpvMjtsFsTv-XkVGg
New Jersey	A 5615	Law Enforcement Artificial Intelligence Use	Pending	Requires attorney general to study use of AI for certain law enforcement purposes and issue report.	Government Use; Studies	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTkoyMDI0MDAwQTU2MTUifQ.DA_k_bJK-0pKpIXy7DJ8PC9VoSgDkOpHyGzzMB7E5Ko
New Jersey	A 5616	Law Enforcement Facial Recognition Technology Use	Pending	Requires attorney general to study law enforcement use of facial recognition technology and issue report with recommendations for statewide policy.	Government Use; Studies	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTkoyMDI0MDAwQTU2MTYifQ.-qZ5txYv0jU7kimIwAvse_sGOvoPExCD-ITE5WDzlpE
New York	A 1338	Artificial Intelligence	Pending	Sets rules and procedures for the admissibility of evidence created or processed by AI.	Judicial Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTlkyMDI1MDAwQTEzMzgifQ.qAaTs4_Z5JL3bb11R683jajN6CQ-OzPANtZD3x10VVw
New York	A 1342	Advanced AI Systems	Pending	Requires the collection of oaths of responsible use from users of certain generative or surveillance advanced AI systems by the operators of such systems, and transmission of such oaths to the attorney general.	Responsible Use; Criminal Use; Private Sector Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTlkyMDI1MDAwQTEzNDIifQ.qqSCsDcmuev19UzkoGUosjmqkqObrs_c8bgfv8lF-Ks
New York	A 3969	Commission on Forensic Science	Pending	Updates the membership, powers, duties and procedures of the commission on forensic science; establishes the scientific advisory committee, the social justice, ethics, and equity assessment committee and the forensic analyst license advisory committee; makes conforming changes.	Responsible Use; Studies; Judicial Use; Government Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTlkyMDI1MDAwQTM5NjkifQ.8v6h3JNHcKP9nX72paP0rUFYPjTM8pcHBH7zP7o92RE
New York	A 4970	School Safety Planning and Training	Pending	Relates to classroom safety mechanisms, emergency medical equipment, and evidence-based best practices for school safety planning and training.	Education Use; Government Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTlkyMDI1MDAwQTQ5NzAifQ.sRq2HdVSdqXBfRy8uVapzgSKZHRk2P935tK11zyKx0k
New York	A 6453	AI Frontier Models	Pending	Relates to the training and use of AI frontier models; provides that, before deploying a frontier model, the large developer of such model shall, among other things, implement a written safety and security protocol, grant the Division of Homeland Security and Emergency Services or the Attorney General access t the safety and security protocol, and implement appropriate safeguards to prevent unreasonable risk of critical harm; provides for civil actions and penalties for violations.	Provenance; Criminal Use; Cybersecurity; Oversight/Governance; Responsible Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTlkyMDI1MDAwQTY0NTMifQ.51RkfXlDSbT1_dqxIfi4XT_smUprnBA7VEypvc2GxsM
New York	A 7172	Division of Criminal Justice Services	Pending	Requires the division of criminal justice services to formulate a protocol for the regulation of the use of AI and facial recognition technology in criminal investigations; restricts the use of AI-generated outputs in court.	Government Use; Judicial Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTlkyMDI1MDAwQTcxNzIifQ.IVTKQvzuI9PlAiy3QmMmgzTWEXuELgRsAXFsHyOgT80
New York	A 8022	Operator of a Covered Platform	Pending	Requires an operator of a covered platform with at least 1 million users to ensure that its covered platform provides a process to allow law enforcement agencies to contact such covered platform, which shall include making available a staffed hotline for the purposes of receiving and responding to questions about search warrants, acknowledging receipt of search warrants; provides status updates on warrant compliance, and which shall provide continuous availability of such process.	Private Sector Use; Criminal Use; Government Use; Judicial Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTlkyMDI1MDAwQTgwMjIifQ.MFnw8FkcHQDDQSyWX6Zm4iBRcN_k5LWnOhXcyjqnSuo
New York	A 8546	Certification of Filings Produced Using Generative AI	Pending	Amends the Civil Practice Law & Rules Law; requires certification of filings produced using generative AI; requires the brief of an appellant to contain a disclosure of the use of generative AI in the drafting of the brief and certification that the content therein was reviewed and verified by a human.	Judicial Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTlkyMDI1MDAwQTg1NDYifQ.PCgDRei0aivQCf2onQhYNJq7RdK1fRaOI7WQVJuy75E
New York	A 8884	Development and Use of Artificial Intelligence Systems	Pending	Regulates the development and use of certain AI systems to prevent algorithmic discrimination; requires independent audits of high risk ai systems; provides for enforcement by the attorney general as well as a private right of action.	Audit; Private Sector Use; Responsible Use; Impact Assessment; Private Right of Action; Criminal Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTlkyMDI1MDAwQTg4ODQifQ.7QKWy9ymXOCriuNWsmzokgOpXSxDkKs62ALft47GHCQ
New York	S 1169	Development and Use of AI Systems	Pending	Regulates the development and use of certain AI systems to prevent algorithmic discrimination; requires independent audits of high risk ai systems; provides for enforcement by the attorney general as well as a private right of action.	Private Right of Action; Responsible Use; Audit	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTlkyMDI1MDAwUzExNjkifQ.GMaBje0zUw2vAFF6KFm9s8kENrC6BilNgJIB0bZFIVI
